Date,Total,Unique
2011-03-08,1452,296
2011-03-10,1453,297
2011-03-16,1453,297
2011-03-21,1453,297
2011-03-22,1453,297
2011-03-27,1457,301
2011-03-28,1461,302
2011-03-29,1461,302
2011-03-30,1462,303
2011-03-31,1500,304
2011-04-04,1505,309
2011-04-05,1506,310
2011-04-06,1522,319
2011-04-07,1526,323
2011-04-10,1525,323
2011-04-16,1525,323
2011-04-18,1525,323
2011-04-20,1525,323
2011-04-21,1526,323
2011-04-22,1527,324
2011-04-27,1529,327
2011-04-28,1530,328
2011-05-03,1532,329
2011-05-04,1532,329
2011-05-05,1532,329
2011-05-06,1532,329
2011-05-07,1533,330
2011-05-09,1535,332
2011-05-10,1535,332
2011-05-11,1537,334
2011-05-16,1540,336
2011-05-17,1550,346
2011-05-18,1550,346
2011-05-19,1551,346
2011-05-20,1551,346
2011-05-23,1551,346
2011-05-28,1554,349
2011-06-05,1556,351
2011-06-06,1556,351
2011-06-07,1558,352
2011-06-08,1561,354
2011-06-10,1561,354
2011-06-12,1562,355
2011-06-13,1565,357
2011-06-14,1566,358
2011-06-15,1569,361
2011-06-16,1569,361
2011-06-17,1569,361
2011-06-18,1569,361
2011-06-20,1571,362
2011-06-21,1571,362
2011-06-22,1573,364
2011-06-23,1576,367
2011-06-24,1578,369
2011-06-26,1578,370
2011-06-27,1577,369
2011-06-30,1578,370
2011-07-01,1579,371
2011-07-03,1580,371
2011-07-04,1581,372
2011-07-05,1581,372
2011-07-06,1581,372
2011-07-07,1581,372
2011-07-08,1581,372
2011-07-09,1581,372
2011-07-10,1581,372
2011-07-11,1581,372
2011-07-12,1582,372
2011-07-14,1595,372
2011-07-15,1595,372
2011-07-16,1598,374
2011-07-17,1601,376
2011-07-18,1602,377
2011-07-19,1602,377
2011-07-20,1603,378
2011-07-21,1603,379
2011-07-24,1600,377
2011-07-25,1601,378
2011-07-26,1602,380
2011-07-27,1605,383
2011-07-28,1605,383
2011-08-01,1605,383
2011-08-03,1606,384
2011-08-04,1608,386
2011-08-05,1609,387
2011-08-07,1609,387
2011-08-11,1610,388
2011-08-12,1611,389
2011-08-15,1612,390
2011-08-16,1613,390
2011-08-17,1613,390
2011-08-18,1614,391
2011-08-19,1614,391
2011-08-20,1623,395
2011-08-21,1624,395
2011-08-22,1624,395
2011-08-23,1624,395
2011-08-24,1625,396
2011-08-25,1626,397
2011-08-26,1629,401
2011-08-27,1629,401
2011-08-28,1630,401
2011-08-29,1696,401
2011-08-30,1697,403
2011-08-31,1698,404
2011-09-02,1698,404
2011-09-07,1698,404
2011-09-08,1698,404
2011-09-10,1698,404
2011-09-12,1699,403
2011-09-14,1700,404
2011-09-15,1701,405
2011-09-16,1708,407
2011-09-18,1708,407
2011-09-20,1709,409
2011-09-21,1711,411
2011-09-22,1711,411
2011-09-23,1711,411
2011-09-25,1712,412
2011-09-26,1712,412
2011-09-28,1712,412
2011-09-29,1712,412
2011-09-30,1713,413
2011-10-03,1739,414
2011-10-05,1740,415
2011-10-06,1740,415
2011-10-09,1741,416
2011-10-10,1741,416
2011-10-11,1742,417
2011-10-12,1747,418
2011-10-13,1749,420
2011-10-15,1749,420
2011-10-16,1749,420
2011-10-18,1757,420
2011-10-21,1759,422
2011-10-22,1760,423
2011-10-23,1762,425
2011-10-25,1762,425
2011-11-02,1763,426
2011-11-03,1764,427
2011-11-04,1765,426
2011-11-05,1766,427
2011-11-09,1766,427
2011-11-10,1770,432
2011-11-11,1770,432
2011-11-16,1771,433
2011-11-17,1773,435
2011-11-20,1775,437
2011-11-27,1776,438
2011-11-29,1778,441
2011-11-30,1779,442
2011-12-01,1781,446
2011-12-04,1781,446
2011-12-05,1782,447
2011-12-06,1784,450
2011-12-07,1785,451
2011-12-08,1786,452
